Brand Name,Grain Type,Price per Bag (Naira),City,Country,Customer Rating,Number of Reviews,Month Sold,Units Sold
Royal Stallion,local,16093.36,Kumasi,Ghana,3,71,February,692
Tommy Tasty,long grain,,Accra,Ghana,5,175,May,244
Caprice,long grain,,Accra,Ghana,5,145,December,801
Sunshine,long grain,22656.19,Lagos,Nigeria,1,99,September,430
Uncle Sam,local,18500.64,Abuja,Nigeria,1,43,October,470
Tommy Tasty,basmati,9828.74,Kumasi,Ghana,4,15,March,188
Golden Harvest,basmati,21505.41,Kumasi,Ghana,5,166,January,410
Uncle Sam,local,12962.22,Kumasi,Ghana,5,69,October,592
Golden Harvest,long grain,18464.29,Accra,Ghana,4,121,August,230
Royal Stallion,long grain,24017.8,Abuja,Nigeria,2,241,August,737
King's Pride,local,15403.01,Kumasi,Ghana,4,112,March,861
Sunshine,long grain,,Accra,Ghana,2,203,April,970
Golden Harvest,long grain,11753.88,Abuja,Nigeria,5,184,December,734
Golden Harvest,long grain,10169.21,Accra,Ghana,5,217,August,801
Tommy Tasty,Long grain,16287.06,Lagos,Nigeria,3,217,June,343
Uncle Sam,basmati,19404.99,Kumasi,Ghana,4,33,October,154
King's Pride,long grain,17393.26,Abuja,Nigeria,1,83,February,534
Sunshine,basmati,22997.7,Abuja,Nigeria,2,290,December,372
Uncle Sam,basmati,21711.67,Kumasi,Ghana,2,17,June,372
King's Pride,local,,Accra,Ghana,1,205,January,326
Caprice,long grain,,Accra,Ghana,3,269,May,140
Uncle Sam,long grain,,Accra,Ghana,5,143,October,847
Uncle Sam,local,16910.46,Kumasi,Ghana,3,274,September,276
Golden Harvest,basmati,12843.04,Accra,Ghana,5,180,March,694
King's Pride,local,15141.85,Lagos,Nigeria,2,95,January,993
King's Pride,local,10363.52,Kumasi,Ghana,1,128,March,828
Golden Harvest,basmati,14404.19,Lagos,Nigeria,5,62,January,348
Caprce,basmati,16953.15,Abuja,Nigeria,5,280,November,748
Mama Gold,long grain,9573.3,Lagos,Nigeria,5,151,April,972
Sunshine,local,9898.98,Lagos,Nigeria,5,45,September,709
Mama Gold,local,23650.98,Abuja,Nigeria,2,292,August,380
Mama Gold,long grain,12448.48,Abuja,Nigeria,3,260,March,982
Uncl Sam,basmati,8443.55,Kumaci,Ghana,2,127,July,59
Uncle Sam,long grain,23711.13,Accra,Ghana,5,274,September,576
Caprice,basmati,15154.67,Lagos,Nigeria,5,127,January,613
Sunshine,long grain,12307.14,Abuja,Nigeria,5,184,June,289
Caprice,local,13120.64,Kumasi,Ghana,5,147,June,495
Sunshine,long grain,22401.43,Lagos,Nigeria,2,8,February,920
Golden Harvest,local,12480.96,Abuja,Nigeria,4,229,February,935
Royal Stallion,local,10921.13,Abuja,Nigeria,3,172,November,208
Royal Stallion,long grain,10731.29,Kumasi,Ghana,2,107,May,846
Tommy Tasty,basmati,16835.05,Accra,Ghana,5,180,March,84
Mama Gold,local,11134.21,Lagos,Nigeria,2,259,October,933
Golden Harvest,local,20350.96,Kumasi,Ghana,1,118,January,357
Mama Gold,LONG GRAIN,19921.52,Accra,Ghana,5,226,April,599
Uncle Sam,basmati,8966.62,Kumasi,Ghana,2,126,January,564
Golden Harvest,local,8550.2,Lagos,Nigeria,1,223,November,626
Sunshine,local,13356.87,Abuja,Nigeria,1,161,October,183
Golden Harvest,basmati,10529.58,Lagos,Nigeria,1,298,September,848
Royal Stallion,local,10668.33,Abuja,Nigeria,2,98,January,469
Sunshine,basmati,12612.78,Abuja,Nigeria,3,161,December,573
Royal Stallion,basmati,8342.06,Abuja,Nigeria,2,84,August,265
Royal Stallion,long grain,11273.56,Kumasi,Ghana,1,151,October,358
King's Pride,basmati,11040.96,Lagos,Nigeria,5,214,March,493
King's Pride,long grain,14103.41,Kumasi,Ghana,5,209,April,163
Tommy Tasty,basmati,12565.88,Abuja,Nigeria,4,186,October,834
Caprice,long grain,20967.85,Kumasi,Ghana,4,250,August,696
Uncle Sam,basmati,10886.86,Kumasi,Ghana,1,83,December,83
Golden Harvest,local,13153.35,Abuja,Nigeria,1,155,August,812
Royal Stallion,long grain,21581.31,Lagos,Nigeria,2,194,December,500
Sunshine,local,8714.25,Kumasi,Ghana,3,96,May,810
Mama Gold,basmati,12425.85,Kumasi,Ghana,2,41,August,819
Golden Harvest,local,17049.77,Kumasi,Ghana,1,193,July,378
Sunshine,basmati,22371.03,Accra,Ghana,5,43,March,944
Mama Gold,local,12377.46,Accra,Ghana,3,232,May,54
Royal Stallion,local,8035.85,Lagos,Nigeria,3,87,March,662
Royal Stallion,long grain,18633.31,Lagos,Nigeria,5,14,August,397
Caprice,long grain,21846.37,Lagos,Nigeria,5,56,December,155
Sunshine,local,16186.44,Accra,Ghana,3,268,May,837
Tommy Tasty,basmati,13244.57,Lagos,Nigeria,4,256,December,162
Uncle Sam,long grain,14948.98,Lagos,Nigeria,1,160,November,220
Mama Gold,local,21919.76,Abuja,Nigeria,2,211,April,955
Royal Stallion,long grain,12797.32,Abuja,Nigeria,4,245,February,327
King's Pride,basmati,18339.59,Abuja,Nigeria,4,2,October,875
Caprice,local,9812.07,Kumasi,Ghana,2,290,April,564
Caprice,long grain,16504.39,Abuja,Nigeria,5,143,October,889
Mama Gold,long grain,17456.29,Lagos,Nigeria,1,178,February,949
Tommy Tasty,local,15059.86,Kumasi,Ghana,4,85,May,851
Tommy Tasty,basmati,15950.42,Lagos,Nigeria,1,277,November,261
Caprice,local,22249.78,Lagos,Nigeria,1,299,September,537
Tommy Tasty,long grain,17356.71,Abuja,Nigeria,2,35,November,915
Mama Gold,long grain,11382.35,Abuja,Nigeria,3,59,August,78
Royal Stallion,long grain,15036.55,Abuja,Nigeria,1,109,August,567
Caprice,long grain,15545.97,Accra,Ghana,2,279,June,136
Mama Gold,basmati,18231.99,Abuja,Nigeria,1,238,November,279
King's Pride,local,,Accra,Ghana,2,164,February,125
Tommy Tasty,long grain,8805.99,Accra,Ghana,2,110,April,370
Tommy Tasty,local,,Accra,Ghana,4,268,May,147
Caprice,long grain,12358.46,Lagos,Nigeria,5,221,March,279
Golden Harvest,long grain,9974.03,Kumasi,Ghana,4,63,August,477
Sunshine,long grain,19980.55,Abuja,Nigeria,3,243,December,150
King's Pride,basmati,,Accra,Ghana,3,185,February,129
Sunshine,local,9992.16,Accra,Ghana,2,286,April,877
Golden Harvest,long grain,8074.12,Abuja,Nigeria,2,70,November,776
King's Pride,long grain,17590.94,Abuja,Nigeria,2,226,March,274
King's Pride,local,17688.26,Kumasi,Ghana,4,236,December,873
Caprice,basmati,16136.65,Accra,Ghana,4,288,May,813
Mama Gold,long grain,8630.75,Abuja,Nigeria,1,173,November,425
Tommy Tasty,basmati,19463.38,Acccra,Ghana,2,250,March,923
Mama Gold,local,19195.26,Abuja,Nigeria,5,90,June,899
Mama Gold,basmati,14071.42,Accra,Ghana,2,130,May,288
Sunshine,basmati,10515.09,Kumasi,Ghana,1,257,October,376
Uncle Sam,long grain,13518.69,Abuja,Nigeria,1,185,August,383
Caprice,long grain,16531.62,Lagos,Nigeria,2,22,October,937
Caprice,long grain,24524.4,Abuja,Nigeria,5,64,September,130
Uncl Sam,basmati,24267.05,Kumaci,Ghana,2,185,January,145
Royal Stallion,basmati,18184.41,Abuja,Nigeria,3,142,April,635
Caprice,long grain,24411.65,Kumasi,Ghana,3,177,May,901
Sunshine,long grain,23848.99,Kumasi,Ghana,4,89,October,750
Golden Harvest,local,23796.3,Abuja,Nigeria,3,219,March,663
Mama Gold,local,16737.46,Kumasi,Ghana,1,201,September,873
Royal Stallion,basmati,21593.93,Accra,Ghana,2,71,May,960
Royal Stallion,long grain,24967.08,Lagos,Nigeria,1,258,January,635
Tommy Tasty,basmati,12494.78,lagos,Nigeria,2,207,June,441
Sunshine,long grain,23603.06,Abuja,Nigeria,3,178,May,576
Sunshine,basmati,17192.27,Lagos,Nigeria,5,8,March,495
Caprice,basmati,18875.26,Accra,Ghana,2,123,December,562
Tommy Tasty,long grain,20019.3,Abuja,Nigeria,5,289,October,81
Mama Gold,local,8088.36,Lagos,Nigeria,4,33,September,69
King's Pride,local,12205.44,Abuja,Nigeria,5,96,June,358
Royal Stallion,local,19565.03,Accra,Ghana,3,275,November,557
Mama Gold,basmati,19560.04,Kumasi,Ghana,5,290,December,168
King's Pride,basmati,14803.32,Abuja,Nigeria,3,196,July,429
King's Pride,basmati,13181.75,Kumasi,Ghana,3,182,December,184
Caprice,local,13724.85,Accra,Ghana,5,87,December,689
Mama Gold,basmati,14711.76,Accra,Ghana,3,4,June,218
Caprice,long grain,16464.49,Accra,Ghana,3,222,November,606
Mama Gold,basmati,10019.74,Abuja,Nigeria,3,136,January,664
Tommy Tasty,long grain,22800.78,Accra,Ghana,2,82,March,419
Caprice,long grain,21960.7,Lagos,Nigeria,2,175,August,569
Mama Gold,long grain,8671.36,Kumasi,Ghana,2,228,July,828
King's Pride,local,22596.28,Lagos,Nigeria,5,207,December,283
Caprice,basmati,,Accra,Ghana,5,235,April,982
Mama Gold,basmati,18413.4,Abuja,Nigeria,3,2,September,664
Mama Gold,local,18941.78,Abuja,Nigeria,3,175,April,608
Caprice,local,19046.68,Lagos,Nigeria,5,283,June,71
Sunshine,basmati,15927.38,Kumasi,Ghana,4,89,October,667
Sunshine,basmati,20125.67,Lagos,Nigeria,2,138,January,593
Tommy Tasty,basmati,,Accra,Ghana,5,234,January,475
Caprice,long grain,23101.04,Kumasi,Ghana,3,166,March,88
Royal Stallion,long grain,10028.67,Lagos,Nigeria,5,258,February,733
Royal Stallion,local,9695.77,Lagos,Nigeria,3,103,October,312
Uncle Sam,local,23721.15,Lagos,Nigeria,5,84,July,415
